datetime,worker,id,gpu,hashrate,accepted_shares,temperature,fan,power,core_clock,mem_clock
2021-05-11 17:33:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,18.16,7,66,80,109,2062,4252
2021-05-11 17:34:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.007,7,65,80,103,2062,4252
2021-05-11 17:35:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,8.241,7,63,80,98,2062,4252
2021-05-11 17:36:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,6.063,7,64,80,107,2062,4252
2021-05-11 17:37:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,5.714,7,65,80,106,2062,4252
2021-05-11 17:38:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.714,7,64,80,99,2062,4252
2021-05-11 17:39:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,6.235,7,65,80,107,2062,4252
2021-05-11 17:40:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,5.684,7,65,80,106,2062,4252
2021-05-11 17:41:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,5.749,7,65,80,108,2062,4252
2021-05-11 17:42:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,5.846,7,66,80,110,2062,4252
2021-05-11 17:43:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,8.817,8,63,80,95,2062,4252
2021-05-11 17:44:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,5.426,8,65,80,109,2062,4252
2021-05-11 17:45:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.377,8,63,80,98,2062,4252
2021-05-11 17:46:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,15.94,9,64,80,95,2062,4252
2021-05-11 17:47:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,10.21,9,63,80,96,2062,4252
2021-05-11 17:48:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.106,9,62,80,94,2062,4252
2021-05-11 17:49:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.105,9,62,80,94,2062,4252
2021-05-11 17:50:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.305,10,61,80,92,2062,4252
2021-05-11 17:51:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.126,10,61,80,93,2062,4252
2021-05-11 17:52:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.128,10,61,80,93,2062,4252
2021-05-11 17:53:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,10.80,10,61,80,93,2062,4252
2021-05-11 17:54:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.184,10,62,80,94,2062,4252
2021-05-11 17:55:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,6.981,10,61,80,93,2062,4252
2021-05-11 17:56:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.007,10,61,80,92,2062,4252
2021-05-11 17:57:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.054,10,61,80,93,2062,4252
2021-05-11 17:58:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.059,10,61,80,93,2062,4252
2021-05-11 17:59:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,6.937,10,61,80,92,2062,4252
2021-05-11 18:00:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,9.169,10,61,80,93,2062,4252
2021-05-11 18:01:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.847,10,62,80,99,2062,4252
2021-05-11 18:02:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,8.367,10,62,80,93,2062,4252
2021-05-11 18:03:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,6.936,10,62,80,92,2062,4252
2021-05-11 18:04:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.470,10,62,80,93,2062,4252
2021-05-11 18:05:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.425,10,62,80,95,2062,4252
2021-05-11 18:06:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,11.26,10,62,80,102,2062,4252
2021-05-11 18:07:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.195,10,61,80,93,2062,4252
2021-05-11 18:08:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.321,10,61,80,92,2062,4252
2021-05-11 18:09:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.358,10,61,80,92,2062,4252
2021-05-11 18:10:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.292,10,61,80,93,2062,4252
2021-05-11 18:11:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.161,10,61,80,93,2062,4252
2021-05-11 18:12:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.132,10,61,80,94,2062,4252
2021-05-11 18:13:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.619,10,61,80,93,2062,4252
2021-05-11 18:14:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.746,10,61,80,95,2062,4252
2021-05-11 18:15:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,8.168,10,61,80,92,2062,4252
2021-05-11 18:16:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.904,10,61,80,94,2062,4252
2021-05-11 18:17:00,PATRIZIO_PC,0,GeForce GTX 1060 6GB,7.907,10,61,80,93,2062,4252
